Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation
28.4,52.7,0.03,4,0
28.6,54.9,0.08,4,0
28.6,53.7,0.35,4,0
24.5,66.1,0,4,0
27.3,55.6,0.04,4,0
26.5,56,0.35,4,0
26.6,55.6,0.02,4,0
27.4,48.3,0,4,0
28.3,41.6,0.14,4,0
28.3,40.6,0.2,4,0
29,55.3,0.14,4,0
29,53.7,0.35,4,0
28.8,46.8,0.01,4,0
28.6,49.3,0.01,4,0
28.3,50.4,0.02,4,0
28.2,48,1.3,4,0
27.4,46.8,1.17,4,0
26.5,60.1,0.92,4,0
26.7,60,0.71,4,0
31,52.7,0.71,4,0
31,59.2,1.23,4,0
31,61.6,0.67,4,0
31,61,0.37,4,0
30.9,62.7,0.12,4,0
31,61.4,0.29,4,0
29.1,53.2,0.2,4,0
29.4,52.7,0.25,4,0
29.2,49.8,0.2,4,0
29.5,51.9,0.06,4,0
28.7,52.7,0.03,4,0
27,56.5,0.04,4,0
28.4,57.4,0.17,4,0
27.5,58,0.08,4,0
27.3,58.3,0.35,4,0
27,59.8,0.02,4,0
28.2,49.9,0.92,4,0
28.3,50.1,1.46,4,0
27.5,57.2,0.11,4,0
28.4,57.9,0.11,4,0
28.5,58.3,0.01,4,0
28.8,59.6,0.2,4,0
28.9,59.2,0.06,4,0
28.8,56.5,0.06,4,0
29.6,40,0.48,4,0
29.8,42.1,0.41,4,0
29.5,55.7,0.02,4,0
29.4,58.9,0.01,4,0
32.7,38.9,0.14,4,0
37.7,43.2,0.12,4,0
36.8,38.4,0.05,4,0
37.3,34,0.86,4,0
35.9,37.7,0.48,4,0
33.7,38.4,0.81,4,0
27.8,67.7,0.41,4,0
27.1,70.4,0.07,4,0
27.5,70.1,0.04,4,0
29.6,57.3,0.05,4,0
31.1,57.9,0.02,4,0
32.3,54,0.03,4,0
32.6,52.7,0.35,4,0
32.6,54.4,0.29,4,0
32.7,55.6,0.05,4,0
32.7,57.9,0.04,4,0
33,55.6,0.41,4,0
31,61.4,0.2,4,0
30.2,63.1,0.62,4,0
30.1,63.4,0.86,4,0
25.9,65.3,0.76,4,0
25.9,64.7,0.92,4,0
26,64.8,0.05,4,0
26.3,62,0.1,4,0
29.2,55.4,0.05,4,0
29.7,56,0.05,4,0
30.1,53.2,0.25,4,0
30.5,52.1,0.03,4,0
31,51,0.27,4,0
30.9,50.8,0.32,4,0
30.9,51.3,0.05,4,0
30.4,52.8,0.01,4,0
30.7,54.6,0.03,4,0
28.7,55.1,0.17,4,0
28.8,52.2,0.06,4,0
29.3,54.3,0.08,4,0
29.3,54.5,0.05,4,0
28.8,57.4,0.04,4,0
27.2,56.4,0.03,4,0
27.4,55.3,0.03,4,0
25.8,59.7,0.03,4,0
28.2,20.4,0.25,4,0
28.3,22.9,0.37,4,0
28.3,24.7,0.58,4,0
28.3,23.5,0.48,4,0
30.7,44.2,0.55,4,0
29.5,52.7,1.04,4,0
28.6,51.8,0.11,4,0
28.4,53.2,0.04,4,0
28.6,54.2,0.03,4,0
27.8,56.8,0.03,4,0
27.7,56.7,0.03,4,0
27.6,57.6,0.02,4,0
27.2,59.2,0.01,4,0
26.9,58.9,0.01,4,0
26.8,60,0.01,4,0
25.5,63.1,0.03,4,0
25.8,64.4,0.04,4,0
26,59.5,0.02,4,0
26.3,61,0.01,4,0
26.7,52.2,0.11,4,0
27.1,52.3,0.04,4,0
27.4,51.3,0.01,4,0
27.4,48.3,0.03,4,0
29,42.7,0.5,4,0
29.3,42.1,0.44,4,0
30.2,45.7,0.48,4,0
30.1,46.3,0.44,4,0
26.7,59.2,0.02,4,0
27.2,59.7,0.03,4,0
28.3,55.2,0.03,4,0
28.5,55.6,0.06,4,0
29.3,51.6,0.22,4,0
29.5,50.3,0.04,4,0
33.3,48.8,0.23,4,0
32.2,50.7,0.53,4,0
24,40.5,0.36,4,0
24.4,48.8,0.42,4,0
24,50.3,0.33,4,0
27.4,55.1,0.46,4,0
30.5,44.8,0.53,4,0
30.6,44.8,0.36,4,0
30.5,48.2,0.58,4,0
30,50.8,0.25,4,0
30.4,51.3,0.33,4,0
30.8,51.8,0.46,4,0
31.1,50.1,0.36,4,0
31.4,50.8,0.28,4,0
31.3,49.8,0.25,4,0
31.4,49.8,0.36,4,0
31.6,52.5,0.25,4,0
31.3,54.2,0.39,4,0
30.6,51.3,0.17,4,0
30.1,43.8,0.66,4,0
29.9,46.8,0.14,4,0
30.3,48.1,0.62,4,0
28.6,48.8,0.25,4,0
28.3,52.7,0.14,4,0
26.2,38.4,0.14,4,0
26,36.1,0.12,4,0
24.7,35.6,0.04,4,0
24.4,37.6,0.05,4,0
24.4,36,0.12,4,0
24.3,35.8,0.15,4,0
24,38.4,0.15,4,0
24.6,42.7,0.03,4,0
25.6,45.8,0.06,4,0
25.8,61.8,0.19,4,0
29,52.7,0.11,4,0
29.1,52.2,0.17,4,0
28.5,54.6,0.08,4,0
27,59.1,0.09,4,0
25.8,64.4,0.19,4,0
25.8,49.3,0.14,4,0
26.2,50,0.14,4,0
26.1,48.8,0.14,4,0
26.1,50.3,0.09,4,0
26,47.7,0.14,4,0
25.9,47,0.12,4,0
26.1,47.3,0.11,4,0
29.1,50.3,0.03,4,0
29.2,49.8,0.03,4,0
28.6,54.8,0.21,4,0
27.7,57.4,0.23,4,0
25.5,48.8,0.09,4,0
26.5,45.8,0.21,4,0
26.5,44.8,0.04,4,0
26.5,47.1,0.07,4,0
26.2,45.5,0.07,4,0
25.9,44.2,0.05,4,0
26.2,37.3,0.07,4,0
26.2,39.5,0.11,4,0
26.2,34.5,0.11,4,0
29.5,56,0.42,4,0
26.9,33.4,0.23,4,0
30.9,59.2,0.19,4,0
31.4,63.1,0.25,4,0
31.4,48.3,0.05,4,0
31.5,49.8,0.06,4,0
31.6,52.2,0.09,4,0
31.4,56,0.06,4,0
29.9,38.9,0.25,4,0
29.1,46.3,0.25,4,0
30.8,38.9,0.23,4,0
31,23.5,0.07,4,0
29.6,38.4,0.35,4,0
30.1,22.7,0.14,4,0
30.3,19.8,0.06,4,0
30.3,25.5,0.05,4,0
30.9,16,0.07,4,0
30.1,26.5,0.07,4,0
29.9,28.2,0.12,4,0
27.4,46.8,0.29,4,0
27.3,56,0.04,4,0
27.3,55.6,1.03,4,0
28.7,48.3,0.06,4,0
30.3,44.2,0.09,4,0
32.2,40,0.15,4,0
28.9,57.9,0.04,4,0
29.6,53.2,0.07,4,0
30.7,36.1,0.47,4,0
30.3,37.8,0.41,4,0
31,37.2,0.15,4,0
30.8,38.9,0.12,4,0
30.5,41.1,0.05,4,0
29.9,44.8,0.05,4,0
29,56,0.08,4,0
29.1,56,1.39,4,0
29.7,53.7,0.14,4,0
30.8,46.6,0.19,4,0
20.8,72.3,0,4,0
21.3,69.3,0.02,4,0
20.8,68.9,0.03,4,0
20.8,68.5,0.03,4,0
19.8,66.9,0.01,4,0
19.8,66.1,0.01,4,0
19.8,66.1,0.01,4,0
19.8,65.7,0.01,4,0
19.8,66.1,0,4,0
19.8,65.7,0,4,0
18.3,68.5,0,4,0
18.3,70.4,0,4,0
18.8,72.3,0,4,0
19.3,73.4,0,4,0
19.3,72.3,0,4,0
19.3,70.4,0,4,0
19.3,69.3,0,4,0
19.3,68.5,0,4,0
19.3,68.5,0,4,0
19.8,68.1,0.01,4,0
22.7,66.5,0.03,4,0
23.1,66.5,0.04,4,0
20.8,67.7,0.01,4,0
20.8,66.5,0,4,0
20.3,65.7,0.01,4,0
20.8,64.4,0.01,4,0
20.3,63.1,0.02,4,0
22.2,46.8,0,4,0
18.8,52.2,0,4,0
18.8,55.1,0.01,4,0
18.3,56.5,0.02,4,0
18.3,58.3,0.1,4,0
21.7,41.6,0.04,4,0
22.2,64.8,0.06,4,0
23.1,64.4,0.04,4,0
24.9,62.3,0.08,4,0
24.9,61.8,0.03,4,0
25.3,61.4,0.19,4,0
22.2,65.2,0.06,4,0
21.7,66.5,0.1,4,0
21.3,66.5,0.08,4,0
20.8,68.5,0.01,4,0
20.8,68.9,0.01,4,0
21.3,68.1,0.03,4,0
21.3,66.9,0.03,4,0
18.8,62.7,0.02,4,0
19.3,67.3,0.03,4,0
19.3,65.7,0.03,4,0
18.8,64.8,0.02,4,0
18.8,65.7,0.02,4,0
18.8,64.8,0.02,4,0
18.8,64.8,0.02,4,0
18.8,65.2,0,4,0
19.3,65.2,0.03,4,0
18.8,55.1,0.06,4,0
18.3,58.3,0,4,0
18.3,58.3,0,4,0
18.3,56,0.04,4,0
18.3,54.6,0.04,4,0
17.8,49.3,0,4,0
18.3,55.6,0,4,0
18.3,55.6,0.04,4,0
18.3,56,0.04,4,0
18.3,56,0,4,0
18.3,56,0,4,0
18.3,55.1,0,4,0
18.3,55.1,0,4,0
18.8,55.6,0.02,4,0
19.3,59.7,0,4,0
20.8,67.7,0.12,4,0
20.3,58.8,0.03,4,0
19.8,57.4,0.01,4,0
17.8,59.7,0.02,4,0
19.3,48.3,0.19,4,0
18.3,55.6,0.04,4,0
18.3,56.9,0.1,4,0
18.3,57.4,0,4,0
17.8,52.7,0,4,0
18.3,53.2,0.01,4,0
18.3,53.7,0.02,4,0
19.3,50.8,0.01,4,0
19.3,52.7,0,4,0
19.8,52.2,0,4,0
19.8,51.8,0,4,0
20.3,51.8,0,4,0
20.8,54.2,0.15,4,0
20.8,55.1,0.15,4,0
20.8,47.3,0.15,4,0
19.8,56,0.15,4,0
20.8,57.9,0.15,4,0
16.8,60.1,0.15,4,0
17.8,67.7,0.15,4,0
16.8,64,0.15,4,0
17.8,67.3,0.15,4,0
16.8,61,0.15,4,0
18.3,56.9,0.15,4,0
19.3,56.9,0.15,4,0
19.3,58.3,0.15,4,0
20.3,56,0.15,4,0
19.8,54.2,0.15,4,0
20.3,54.2,0.15,4,0
20.8,53.2,0.15,4,0
21.3,53.2,0.15,4,0
18.8,53.2,0.15,4,0
18.3,55.1,0.15,4,0
19.3,47.3,0.15,4,0
22.2,34,0.15,4,0
18.8,53.7,0.15,4,0
19.8,55.6,0.15,4,0
19.8,56.5,0.15,4,0
19.8,54.6,0.15,4,0
19.8,52.2,0.15,4,0
19.8,53.7,0.15,4,0
19.3,52.2,0.15,4,0
18.8,54.2,0.15,4,0
20.3,49.3,0.15,4,0
18.8,49.8,0.15,4,0
18.8,52.7,0.15,4,0
18.3,51.8,0.15,4,0
16.8,48.3,0.15,4,0
16.8,48.3,0.15,4,0
20.3,51.8,0.15,4,0
20.3,53.2,0.15,4,0
20.8,50.8,0.15,4,0
20.3,52.2,0.15,4,0
20.3,51.8,0.15,4,0
20.8,48.3,0.15,4,0
18.8,49.8,0.15,4,0
21.3,43.2,0.15,4,0
18.3,46.8,0.15,4,0
20.8,43.2,0.15,4,0
19.3,41.1,0.15,4,0
17.3,45.8,0.15,4,0
19.8,40,0.15,4,0
18.8,40.6,0.15,4,0
21.3,41.1,0.15,4,0
21.7,44.8,0.15,4,0
21.7,42.1,0.15,4,0
22.2,45.3,0.15,4,0
19.8,45.8,0.15,4,0
18.8,49.8,0.15,4,0
18.8,51.8,0.15,4,0
18.3,53.2,0.15,4,0
18.3,54.2,0.15,4,0
17.8,55.6,0.15,4,0
17.3,55.6,0.15,4,0
15.7,63.1,0.15,4,0
19.8,47.8,0.15,4,0
20.3,48.3,0.15,4,0
19.8,52.2,0.15,4,0
19.8,49.8,0.15,4,0
19.3,51.3,0.15,4,0
19.3,49.8,0.15,4,0
19.3,48.8,0.15,4,0
19.3,48.3,0.15,4,0
19.3,48.8,0.15,4,0
19.3,50.8,0.15,4,0
19.3,46.8,0.15,4,0
18.8,46.3,0.15,4,0
18.3,46.8,0.15,4,0
16.8,48.3,0.15,4,0
17.8,45.8,0.15,4,0
16.8,43.7,0.15,4,0
16.8,43.2,0.15,4,0
17.3,43.2,0.15,4,0
18.3,46.3,0.15,4,0
16.8,54.2,0.1,4,0
18.8,58.8,0.04,4,0
16.8,59.2,0.04,4,0
16.2,65.2,0,4,0
16.8,65.2,0.02,4,0
16.8,64.4,0.04,4,0
15.7,66.9,0,4,0
14.6,62.7,0,4,0
15.7,65.7,0.01,4,0
15.7,66.9,0.01,4,0
15.7,62.7,0.01,4,0
15.7,60.5,0,4,0
20.8,31.1,0.17,4,0
20.3,35.6,0.13,4,0
16.8,62.3,0,4,0
19.3,53.2,0.05,4,0
18.8,58.8,0.07,4,0
17.8,62.7,0.02,4,0
16.8,66.1,0,4,0
15.1,66.1,0.02,4,0
14.6,64.8,0,4,0
14.6,63.1,0,4,0
15.1,64.4,0,4,0
15.1,63.6,0,4,0
15.7,65.2,0.03,4,0
16.8,65.7,0,4,0
16.8,65.7,0.02,4,0
16.2,61.8,0.08,4,0
18.3,60.5,0,4,0
17.8,60.5,0,4,0
15.1,61.4,0.02,4,0
15.1,61.4,0,4,0
15.7,60.5,0.03,4,0
15.1,61,0,4,0
15.7,59.7,0.01,4,0
16.2,60.1,0.02,4,0
15.7,61.4,0.01,4,0
15.7,61,0,4,0
16.8,61,0,4,0
17.8,59.7,0,4,0
15.7,59.2,0.1,4,0
16.2,59.7,0.12,4,0
16.8,58.8,0.17,4,0
16.8,57.9,0.17,4,0
16.8,59.2,0.17,4,0
16.8,58.8,1.39,4,0
17.3,58.3,1.23,4,0
17.3,53.7,1.23,4,0
16.8,56,1.09,4,0
17.3,54.6,1.47,4,0
20.8,54.6,0,4,0
23.1,52.2,0.06,4,0
23.6,52.2,0.03,4,0
24.9,47.3,0.09,4,0
23.1,52.7,0.1,4,0
20.8,58.3,0.03,4,0
24,44.8,0.06,4,0
23.1,42.1,0.04,4,0
23.1,36.7,0.06,4,0
24,47.8,0.03,4,0
24,31.7,0.19,4,0
24.9,48.8,0.06,4,0
24.5,40,0.05,4,0
24.5,41.6,0.11,4,0
24.9,45.3,0.03,4,0
24.9,40.6,0.03,4,0
22.7,52.2,0.03,4,0
23.6,46.8,0.13,4,0
19.3,56.9,0.02,4,0
19.8,54.6,0.03,4,0
19.3,47.8,0.02,4,0
20.8,52.2,0.06,4,0
19.8,47.3,0.13,4,0
23.6,41.6,0.05,4,0
24,44.2,0.14,4,0
23.6,51.3,0.05,4,0
24.9,53.2,0.09,4,0
24.9,41.1,0.09,4,0
22.2,56.9,0,4,0
16.8,55.6,0.03,4,0
18.3,54.2,0.31,4,0
18.3,55.6,0.02,4,0
19.8,53.7,0.06,4,0
20.8,52.7,0.06,4,0
20.3,45.8,0.11,4,0
19.8,46.3,0.06,4,0
19.8,46.8,0.09,4,0
20.8,45.8,0,4,0
23.1,46.3,0.04,4,0
24,42.1,0.06,4,0
23.6,53.2,0.09,4,0
23.1,51.3,0.06,4,0
21.3,53.2,0.01,4,0
17.8,44.8,0.26,4,0
19.3,53.2,0.06,4,0
19.8,51.3,0.09,4,0
19.3,53.2,0,4,0
19.8,50.8,0.06,4,0
19.3,42.7,0.04,4,0
18.8,44.2,0.01,4,0
19.3,48.8,0.06,4,0
20.8,39.5,0.46,4,0
22.7,48.3,0.03,4,0
23.6,44.8,0.13,4,0
24,41.6,0.06,4,0
23.6,52.7,0.13,4,0
23.6,50.8,0.18,4,0
22.2,51.8,0.04,4,0
22.7,52.7,0.13,4,0
23.1,48.8,0.01,4,0
23.6,48.8,0.05,4,0
23.6,42.7,0.09,4,0
20.8,48.3,0.06,4,0
21.7,50.8,0.01,4,0
22.7,32.8,0.26,4,0
21.3,46.8,0.11,4,0
20.8,49.8,0.19,4,0
20.3,49.8,0.21,4,0
20.8,49.3,0.34,4,0
24.9,38.9,0.24,4,0
24.5,50.8,0.31,4,0
22.2,57.9,0.75,4,0
24,53.2,1.03,4,0
22.7,49.8,0.66,4,0
23.6,46.3,0.97,4,0
19.8,53.7,0.57,4,0
20.3,53.7,1.23,4,0
20.8,54.2,1.31,4,0
20.8,49.8,0.15,4,0
21.3,46.8,0.15,4,0
20.8,46.3,1.31,4,0
15.7,72.3,0.02,4,0
15.7,71.6,0.04,4,0
15.7,70.1,0.04,4,0
15.7,67.7,0.04,4,0
15.7,68.5,0.02,4,0
23.1,19.2,0.15,4,0
20.3,31.7,0.74,4,0
21.7,21.6,0.15,4,0
18.8,35.1,1.01,4,0
18.3,40,0.89,4,0
25.8,11.6,0.74,4,0
24.9,11.6,0.15,4,0
24.5,10.9,0.15,4,0
20.8,22.3,0.65,4,0
19.3,22.3,0.74,4,0
14.6,70.1,0.06,4,0
14.6,69.3,0.1,4,0
15.1,65.7,0.24,4,0
15.1,68.9,0.57,4,0
15.7,73.4,0.65,4,0
15.7,70.1,0.84,4,0
15.7,69.3,0.84,4,0
15.7,69.7,1.07,4,0
15.1,51.8,0.15,4,0
14.6,53.2,0.15,4,0
29,11.6,0.29,4,0
31,12.4,0.54,4,0
30.4,13.3,0.12,4,0
29.1,12.1,0.32,4,0
28.7,12,0.27,4,0
29.8,12.2,0.35,4,0
31.8,12.2,0.38,4,0
31.7,18.6,0.25,4,0
30.9,14.9,0.23,4,0
30.9,19.2,0.14,4,0
30.9,17.9,0.07,4,0
30.8,19,0.07,4,0
30.1,12.2,0.21,4,0
30.1,12.2,0.21,4,0
28.8,15.4,0.41,4,0
29.9,12.2,0.17,4,0
30.8,12.2,0.23,4,0
30.8,12.3,0.23,4,0
30.9,12.3,0.21,4,0
30.8,12.3,0.23,4,0
31.1,12.3,0.58,4,0
30.8,12.2,0.41,4,0
30.7,12.7,0.23,4,0
30.6,16.7,0.19,4,0
29.9,20.6,0.17,4,0
30.1,14.8,0.25,4,0
30.3,11.9,0.12,4,0
30.4,11.9,0.11,4,0
27,11.9,0.04,4,0
30.9,12.2,0.09,4,0
30.9,12.2,0.21,4,0
30.6,14.8,0.35,4,0
30.4,22.5,0.35,4,0
29.9,12,0.11,4,0
28,17.3,0.41,4,0
30.5,14.1,0.25,4,0
30.9,15.4,0.32,4,0
30.3,22.3,0.23,4,0
29.9,24.1,0.17,4,0
29.9,16.7,0.19,4,0
29.4,12.2,0.19,4,0
29.3,12.1,0.29,4,0
30,12.2,0.38,4,0
29.1,17.9,0.14,4,0
29.7,23,0.25,4,0
29.4,23.5,0.23,4,0
29.3,19.6,0.17,4,0
29,17.9,0.32,4,0
29,21.7,0.41,4,0
28.4,11.7,1.1,4,0
29,11.9,0.21,4,0
27.4,11.9,0.23,4,0
28.3,11.6,0.71,4,0
26.5,11.6,0.44,4,0
27.3,11.6,0.58,4,0
24.8,11.6,0.58,4,0
31,12.2,0.67,4,0
32.6,22.9,0.08,4,0
29.5,12.2,0.54,4,0
30.8,12.1,1.03,4,0
29.8,12.1,0.35,4,0
29.7,12,0.44,4,0
29.4,13.5,0.44,4,0
29.1,11.9,0.51,4,0
27.9,19.3,0.19,4,0
29.5,24.5,0.12,4,0
29.9,25.3,0.12,4,0
29.9,22.9,0.21,4,0
29.9,17.3,0.23,4,0
25.3,16.9,0.62,4,0
24.3,15.3,0.54,4,0
26.6,11.6,0.51,4,0
31.1,12.3,0.67,4,0
31,12.3,0.21,4,0
32.6,12.2,0.86,4,0
29.4,12.2,0.23,4,0
30.8,10.4,0.8,4,0
28.8,10.3,0.18,4,0
28.7,12.2,0.35,4,0
29.9,11.6,0.24,4,0
29.8,12.9,0.26,4,0
29.6,15.2,0.24,4,0
29.2,10.3,0.22,4,0
29.5,10.3,0.59,4,0
30.3,10.3,0.67,4,0
30.3,10.3,0.52,4,0
31.9,16.7,0.35,4,0
29.5,11.4,0.46,4,0
29.1,10.4,0.14,4,0
28.8,10.4,0.52,4,0
24,43.2,0.35,4,0
20.5,63.6,0.24,4,0
20,64.8,0.18,4,0
18.3,61.8,0.22,4,0
22.1,61.1,0.16,4,0
23.1,62.3,0.28,4,0
24.5,10.9,0.59,4,0
23.9,20.4,0.71,4,0
29.3,18.4,0.14,4,0
28.3,10.3,0.71,4,0
30.2,15.4,0.35,4,0
28.6,16.7,0.24,4,0
28.5,16.7,0.24,4,0
27,16.7,0.52,4,0
28.5,10.3,0.52,4,0
28.6,10.3,0.4,4,0
27.3,10.3,0.46,4,0
31,10.3,0.3,4,0
27.9,10.3,0.63,4,0
27.9,51.8,0.63,4,0
28.2,32.8,0.32,4,0
27.3,42.7,0.46,4,0
28.3,14.1,0.75,4,0
26,10.3,0.32,4,0
25.8,10.3,0.52,4,0
30.7,21,0.61,4,0
30.3,14.8,0.21,4,0
29.9,16,0.33,4,0
29.9,25.3,0.4,4,0
30,14.8,0.33,4,0
30.1,14.8,0.19,4,0
30.1,14.8,0.27,4,0
30.5,25.3,0.27,4,0
30.4,14.8,0.24,4,0
30.7,20.4,0.27,4,0
30.7,22.9,0.27,4,0
32.3,41.1,0.4,4,0
24.9,14.1,0.27,4,0
31.8,34.5,0.48,4,0
31.4,37.3,0.21,4,0
30.3,19.2,0.17,4,0
32.2,37.8,0.36,4,0
27.3,14.8,0.1,4,0
26.2,14.1,0.11,4,0
25.6,20.4,0.13,4,0
25.8,22.3,0,4,0
24.2,43.2,0.08,4,0
25.8,14.1,0.03,4,0
31.1,31.7,0.43,4,0
25.2,15.4,0.1,4,0
23.1,58.8,0.03,4,0
30.9,28.8,0.4,4,0
26.1,14.1,0.08,4,0
27.4,14.6,0.07,4,0
29.1,19.2,0.33,4,0
26.9,14.3,0.08,4,0
23.7,62.1,0.05,4,0
28.1,14.8,0.06,4,0
26,56.9,0.15,4,0
25.1,60.5,0.04,4,0
25.8,62.7,0.15,4,0
27.2,46.8,0.3,4,0
32.6,34.5,1.39,4,0
29.4,14.3,0.24,4,0
29.5,14.2,0.35,4,0
28.3,14.2,0.26,4,0
29,15.4,0.19,4,0
28.8,14.1,0.15,4,0
28.9,14.1,0.17,4,0
29.2,21.6,0.35,4,0
29.2,17.3,0.32,4,0
29.6,14.1,0.41,4,0
31,41.6,0.41,4,0
27.4,18.6,0.05,4,0
30.8,36.2,0.41,4,0
33,35.6,0.21,4,0
30.1,30.5,0.12,4,0
29.7,16,0.12,4,0
29.6,21.5,0.29,4,0
30.1,24.7,0.17,4,0
29.9,17.9,0.35,4,0
30.1,14.1,0.41,4,0
30.4,14.6,0.21,4,0
29.3,14.1,0.45,4,0
29.1,14.1,0.88,4,0
26.6,37.3,0.38,4,0
24.6,33.4,0.26,4,0
31.8,48.8,0.29,4,0
28.4,26.5,0.1,4,0
28,14.3,0.17,4,0
29.3,36.2,0.26,4,0
29.3,41.6,0.24,4,0
29.1,46.3,0.26,4,0
29.1,42.7,0.53,4,0
28.5,38.9,0.38,4,0
28.4,16.7,0.35,4,0
28.4,17.3,0.26,4,0
28.4,14.1,0.17,4,0
29.4,32.3,0.3,4,0
29,26.5,0.35,4,0
29.4,23.6,0.19,4,0
30.3,14.6,0.29,4,0
29.5,33.4,0.67,4,0
27,24.7,0.36,4,0
24.8,14.1,0.03,4,0
37.3,47.3,0.01,4,0
27.4,37.3,0.04,4,0
17.6,32.8,0.02,4,0
17.2,29.4,0.01,4,0
16.9,32.6,0.01,4,0
19.4,38.4,0,4,0
16.1,19.8,0.01,4,0
16.3,27.6,0,4,0
16.3,28.6,0.01,4,0
16.6,33.5,0.01,4,0
16.4,35.6,0.02,4,0
16.7,35.1,0.02,4,0
16.4,49.2,0.02,4,0
17.2,46.4,0.01,4,0
14.6,16.7,0.01,4,0
14.6,15.6,0.02,4,0
14.5,12.8,0.01,4,0
14.6,12.7,0.06,4,0
13.1,12.2,0.01,4,0
10.5,22.9,0.04,4,0
15.1,38.9,0.04,4,0
19.6,39.5,0,4,0
15.8,22.3,0.01,4,0
16.1,25.3,0.21,4,0
12.8,12.2,0.35,4,0
24.5,23.9,0.38,4,0
25.1,24.8,0.44,4,0
26.7,30.5,0.15,4,0
24.8,28.6,0.14,4,0
23.5,25.2,0.12,4,0
22.7,22.6,0.02,4,0
17.7,14.3,0.02,4,0
16.6,13,0.01,4,0
16.4,12.9,0,4,0
16.6,21.6,0.01,4,0
16.4,18.6,0.04,4,0
18,25.3,0.02,4,0
17,27.3,0.01,4,0
15.6,22.3,0,4,0
15.7,29.4,0.41,4,0
15.1,12.9,0.21,4,0
24.1,13.5,0.23,4,0
23.3,13.6,0.15,4,0
22.8,13.6,0.14,4,0
22.6,13.5,0.11,4,0
22.1,13.5,0.08,4,0
21.5,13.5,0.05,4,0
21.2,13.5,0.05,4,0
21.1,13.5,0.08,4,0
13.8,12.9,0,4,0
16.6,40.6,0.01,4,0
17.6,46,0.02,4,0
17,32.3,0.01,4,0
16.4,34.5,0,4,0
15.1,27.6,0,4,0
15.6,36.2,0.17,4,0
22.8,13.5,0.32,4,0
24.2,13.6,0.25,4,0
25.4,14.8,0.35,4,0
26.4,20.7,0.12,4,0
22.7,15.4,0.09,4,0
22.6,13.8,0.09,4,0
22.5,13.5,0.06,4,0
21.9,13.5,0.08,4,0
21.7,13.5,0.03,4,0
18,38.9,0.01,4,0
17.1,44.2,0.01,4,0
16.6,45.1,0.01,4,0
16.8,45.8,0.01,4,0
17,44.8,0.02,4,0
16,35.1,0.01,4,0
16.4,44.2,0.15,4,0
17.8,13.5,0.35,4,0
25.9,16.7,0.29,4,0
26.8,18.7,0.23,4,0
25.5,19.8,0.12,4,0
24.3,13.7,0.11,4,0
24,13.5,0.08,4,0
23.6,13.6,0.08,4,0
23.1,13.5,0.07,4,0
22.6,13.6,0.35,4,0
18,17.3,0.08,4,0
17.1,34.6,0.11,4,0
16.8,36.5,0.17,4,0
16.8,38.9,0.25,4,0
19.4,45.7,0.47,4,0
17,34.4,0.54,4,0
17.2,40.8,0.86,4,0
15.1,12.9,0.18,4,0
26.1,14,0.18,4,0
26.6,14,1.1,4,0
23.6,13.6,1.16,4,0
22.2,13.5,1.16,4,0
22,13.5,1.23,4,0
21.7,13.4,0.47,4,0
19.7,13.4,1.39,4,0
20.7,13.4,1.47,4,0
20.3,13.4,0.18,4,0
20.2,13.3,0.18,4,0
19.8,13.2,0.18,4,0
19.7,13.4,0.18,4,0
19.5,13.4,0.18,4,0
17.8,12.9,0.18,4,0
18.4,13,0.18,4,0
25.8,18.7,0.18,4,0
24.7,14.8,0.18,4,0
22,13.5,0.18,4,0
22.5,13.6,0.18,4,0
22.5,13.6,0.18,4,0
21.7,13.6,0.18,4,0
21.7,19.2,0.01,4,0
22.2,16.7,0.01,4,0
24.9,10.3,0.11,4,0
24.9,10.9,0.04,4,0
23.6,10.3,0.02,4,0
22.2,10.3,0,4,0
14.6,47.8,0.03,4,0
14.6,50.3,0.03,4,0
14,51.3,0.01,4,0
14.6,51.3,0.05,4,0
14,50.3,0.01,4,0
14.6,49.8,0.05,4,0
14,47.8,0.01,4,0
14.6,48.3,0.05,4,0
14,49.8,0.01,4,0
13.4,48.8,0,4,0
14,47.3,0.04,4,0
19.8,12.9,0,4,0
23.1,10.9,0.17,4,0
23.6,10.3,0.15,4,0
22.7,10.9,0.04,4,0
23.1,12.2,0.08,4,0
22.2,10.9,0.01,4,0
21.7,21.6,0,4,0
22.7,16,0.38,4,0
16.2,10.9,0.17,4,0
14,46.3,0.01,4,0
12.8,47.3,0.03,4,0
15.1,22.3,0.07,4,0
19.3,10.3,0.35,4,0
20.8,16,0.15,4,0
21.7,10.9,0.35,4,0
20.3,10.9,0.01,4,0
20.3,12.2,0.14,4,0
11.6,37.3,0.04,4,0
21.7,17.3,0.11,4,0
20.8,22.9,0.23,4,0
20.8,17.9,0.01,4,0
21.3,17.3,0.19,4,0
20.3,22.3,0.44,4,0
19.8,29.4,0.15,4,0
20.8,31.1,0.29,4,0
19.8,32.8,0.15,4,0
12.8,28.8,0.09,4,0
22.7,14.8,0.29,4,0
19.8,31.1,0.29,4,0
20.3,26.5,0.35,4,0
19.8,34.5,0.62,4,0
19.8,34.5,0.38,4,0
21.7,27.6,0.15,4,0
18.8,20.4,0.29,4,0
14.6,34.5,0.18,4,0
